# Part W7: the fields decided by a word count after a change of variables, one line per field.
# Columns: discriminant, prime p, p-class rank, coefficient field q of the change of variables, certificate file.
# The certificate records the change of variables and the high terms of the completed basis; see records/p3/flag-certificates/FORMAT.md.
discriminant	p	rank	q	certificate
-60252979	3	3	3	records/p3/flag-certificates/60252979.json
-60416488	3	3	9	records/p3/flag-certificates/60416488.json
-60638315	3	3	3	records/p3/flag-certificates/60638315.json
-60661208	3	3	3	records/p3/flag-certificates/60661208.json
-60732499	3	3	3	records/p3/flag-certificates/60732499.json
-60912499	3	3	3	records/p3/flag-certificates/60912499.json
-60936143	3	3	3	records/p3/flag-certificates/60936143.json
-61043151	3	3	3	records/p3/flag-certificates/61043151.json
-61050644	3	3	3	records/p3/flag-certificates/61050644.json
-61052171	3	3	3	records/p3/flag-certificates/61052171.json
-61063943	3	3	3	records/p3/flag-certificates/61063943.json
-61090772	3	3	9	records/p3/flag-certificates/61090772.json
-61113332	3	3	3	records/p3/flag-certificates/61113332.json
-61263451	3	3	3	records/p3/flag-certificates/61263451.json
-61522964	3	3	9	records/p3/flag-certificates/61522964.json
-61559087	3	3	3	records/p3/flag-certificates/61559087.json
-61764971	3	3	9	records/p3/flag-certificates/61764971.json
-61954504	3	3	3	records/p3/flag-certificates/61954504.json
-62092203	3	3	3	records/p3/flag-certificates/62092203.json
-62299023	3	3	3	records/p3/flag-certificates/62299023.json
-62919784	3	3	3	records/p3/flag-certificates/62919784.json
-63069839	3	3	3	records/p3/flag-certificates/63069839.json
-63165371	3	3	3	records/p3/flag-certificates/63165371.json
-63199139	3	3	3	records/p3/flag-certificates/63199139.json
-63263807	3	3	9	records/p3/flag-certificates/63263807.json
-63572952	3	3	3	records/p3/flag-certificates/63572952.json
-63643603	3	3	3	records/p3/flag-certificates/63643603.json
-63849412	3	3	3	records/p3/flag-certificates/63849412.json
-63946915	3	3	3	records/p3/flag-certificates/63946915.json
-63953087	3	3	27	records/p3/flag-certificates/63953087.json
-64018859	3	3	3	records/p3/flag-certificates/64018859.json
-64046083	3	3	3	records/p3/flag-certificates/64046083.json
-64080884	3	3	3	records/p3/flag-certificates/64080884.json
-64345151	3	3	3	records/p3/flag-certificates/64345151.json
-64677252	3	3	3	records/p3/flag-certificates/64677252.json
-64733531	3	3	3	records/p3/flag-certificates/64733531.json
-64842308	3	3	3	records/p3/flag-certificates/64842308.json
-64894027	3	3	3	records/p3/flag-certificates/64894027.json
-65118839	3	3	81	records/p3/flag-certificates/65118839.json
-65257604	3	3	3	records/p3/flag-certificates/65257604.json
-65417747	3	3	3	records/p3/flag-certificates/65417747.json
-65547115	3	3	3	records/p3/flag-certificates/65547115.json
-65561387	3	3	3	records/p3/flag-certificates/65561387.json
-65739755	3	3	3	records/p3/flag-certificates/65739755.json
-65809779	3	3	3	records/p3/flag-certificates/65809779.json
-66047467	3	3	9	records/p3/flag-certificates/66047467.json
-66126811	3	3	3	records/p3/flag-certificates/66126811.json
-66319367	3	3	3	records/p3/flag-certificates/66319367.json
-66483203	3	3	9	records/p3/flag-certificates/66483203.json
-66847063	3	3	3	records/p3/flag-certificates/66847063.json
-66873559	3	3	3	records/p3/flag-certificates/66873559.json
-66977099	3	3	3	records/p3/flag-certificates/66977099.json
-67223287	3	3	3	records/p3/flag-certificates/67223287.json
-67231491	3	3	3	records/p3/flag-certificates/67231491.json
-67244147	3	3	3	records/p3/flag-certificates/67244147.json
-67322296	3	3	3	records/p3/flag-certificates/67322296.json
-67493503	3	3	3	records/p3/flag-certificates/67493503.json
-67604871	3	3	3	records/p3/flag-certificates/67604871.json
-67657143	3	3	81	records/p3/flag-certificates/67657143.json
-67726936	3	3	9	records/p3/flag-certificates/67726936.json
-67912984	3	3	3	records/p3/flag-certificates/67912984.json
-68193140	3	3	3	records/p3/flag-certificates/68193140.json
-68259176	3	3	3	records/p3/flag-certificates/68259176.json
-68261656	3	3	243	records/p3/flag-certificates/68261656.json
-68516555	3	3	3	records/p3/flag-certificates/68516555.json
-68642059	3	3	3	records/p3/flag-certificates/68642059.json
-68655147	3	3	3	records/p3/flag-certificates/68655147.json
-68903007	3	3	3	records/p3/flag-certificates/68903007.json
-69544011	3	3	3	records/p3/flag-certificates/69544011.json
-69645755	3	3	3	records/p3/flag-certificates/69645755.json
-69676520	3	3	3	records/p3/flag-certificates/69676520.json
