discriminant	field	max_head_degree	head_words
-95043595	9	8	13
-95117988	3	10	15
-95319944	3	8	10
-95378159	3	11	19
-95400167	729	8	12
-95932132	3	8	10
-96012987	2187	8	12
-96032407	81	8	12
-96095191	3	8	12
-96157147	9	7	12
-96163699	3	8	13
-96198436	3	8	10
-96347887	3	8	10
-96529780	3	8	10
-96569255	3	6	9
-96632203	81	8	10
-96635087	3	5	5
-96691448	3	8	12
-96758036	3	8	13
-96769507	3	6	10
-96924143	3	7	12
-96956527	3	6	10
-97028499	3	8	13
-97097335	3	11	18
-97193767	3	7	11
-97508420	3	8	12
-97572883	3	5	9
-97660095	3	8	12
-97677239	3	7	10
-97685956	3	6	10
-98134403	3	6	10
-98346291	27	8	12
-98501444	3	6	10
-98532655	3	8	13
-98975828	3	6	9
-98999924	3	8	12
-99063651	3	8	10
-99119012	3	8	11
-99422308	3	7	10
-99888447	3	8	13
-100051871	3	11	17
-100183379	3	8	14
-100203007	3	7	12
-100351651	3	7	12
-100465547	3	8	10
-100470679	9	8	12
-100552015	3	6	10
-100765576	3	7	11
-100861323	3	7	12
-101022855	3	7	12
-101035903	3	6	10
-101177319	3	6	10
-101380051	3	11	13
-101402132	81	7	12
-101588291	3	7	12
-101706439	3	5	5
-101706719	9	8	12
-101726123	3	8	12
-101764712	9	8	12
-101798884	3	8	10
-101993963	3	8	12
-102107476	9	8	12
-102408356	3	5	9
-102448843	3	6	10
-102504715	3	8	10
-102862399	3	6	10
-102875979	3	6	9
-102991307	3	6	10
-103019367	3	11	17
-103066755	3	7	11
-103233395	3	7	11
-103265860	3	8	13
-103410836	3	8	13
-103419807	3	8	10
-103585979	3	7	12
-103770483	3	6	10
-103804552	3	6	11
-103965639	3	6	10
-104176635	3	8	12
-104540167	3	8	13
-104712567	3	8	12
-104728740	3	5	6
-104729779	3	8	10
-104731543	3	9	12
-104864343	9	7	12
-104906328	3	6	10
-104956276	9	9	13
-105071143	3	9	15
-105215595	3	8	13
-105347240	3	6	10
-105589567	3	8	13
-105720547	3	8	14
-105834035	3	8	12
-105860635	3	8	12
-105967319	3	8	12
-106125551	3	6	10
-106247912	3	8	12
-106268803	3	8	12
-106372235	9	9	15
-106715623	3	8	12
-106925507	3	8	14
-107034195	3	8	14
-107095315	3	6	9
-107314951	9	7	12
-107475007	3	8	12
-107623363	3	6	10
-107668299	9	8	10
-107682635	3	8	12
-108037479	3	8	10
-108109907	3	8	12
-108273279	3	6	10
-108289923	3	8	12
-108315995	9	8	12
-108518063	9	7	12
-108526127	3	8	12
-108627752	3	8	12
-108654647	3	8	13
-108803464	3	6	10
-108890715	27	8	12
-109036687	9	7	12
-109060195	729	8	12
-109414808	3	6	10
-109587704	3	8	13
-109970463	3	7	11
-110021687	3	6	9
-110317755	3	8	11
-110398423	3	8	12
-110426808	3	6	9
-110554211	27	7	12
-110800772	3	8	12
-110870967	3	6	10
-110899864	3	7	11
-110992667	3	5	6
-111043195	3	5	6
-111199539	3	6	10
-111234260	3	6	10
-111442868	3	11	17
-111677988	3	8	14
-111690015	3	6	10
-111900819	3	8	10
-112047087	3	5	9
-112059944	3	7	11
-112072984	9	7	12
-112112119	3	7	12
-112117351	3	8	13
-112121876	3	5	9
-112363203	3	5	5
-112547220	3	8	11
-112723355	3	7	11
-112889387	3	7	11
-112992004	3	8	10
-113007880	3	8	13
-113096244	729	8	12
-113156599	3	11	18
-113221139	3	9	13
-113259832	3	7	12
-113490499	3	6	10
-113540959	3	6	9
-113890891	3	8	10
-114080251	3	8	10
-114100019	3	10	16
-114178515	3	8	14
-114292127	27	8	12
-114296595	3	7	7
-114514807	3	9	13
-114536483	3	8	10
-114574879	3	7	11
-114601055	3	8	13
-114610335	3	8	13
-114622887	3	8	13
-115001783	3	7	9
-115026215	3	11	17
-115076040	3	6	10
-115205367	3	7	12
-115329767	3	8	10
-115516059	3	7	12
-115566587	3	8	12
-115737043	27	7	12
-115915967	3	7	11
-116208379	3	6	10
-116256163	3	8	10
-116313160	3	11	18
-116537768	3	8	10
-116689115	3	6	9
-116872171	9	6	10
-117126383	3	5	5
-117211048	3	9	15
-117413191	3	8	13
-117917147	3	8	12
-118035051	2187	8	12
-118111703	3	8	12
-118364216	81	7	12
-118414067	3	6	10
-118426632	3	7	11
-118540135	3	7	11
-118625620	243	8	12
-118706147	3	7	11
-118820856	3	9	16
-118874888	3	8	12
-119070947	3	6	10
-119182840	3	8	12
-119208040	3	8	10
-119422468	9	7	12
-119439427	3	6	10
-119771843	3	8	12
-119850047	3	8	10
-119879459	3	6	9
-119905627	3	5	5
-120085699	3	6	9
-120214447	3	8	10
-120291131	3	6	10
-120423796	3	8	12
-120457012	3	11	17
-120727867	3	10	12
-120755064	3	7	12
-120779123	3	5	5
-120906347	3	8	12
-120976943	3	8	13
-121013764	9	6	10
-121212515	3	8	10
-121270235	9	7	12
-121295560	81	8	12
-121382643	3	8	10
-121462739	9	9	13
-121494820	3	6	10
-121599127	3	7	12
-121791091	9	7	12
-122084895	3	8	10
-122237763	3	8	12
-122333143	3	8	12
-122340311	3	7	12
-122380811	3	9	14
-122400367	3	8	10
-122563911	3	6	9
-122592871	3	8	11
-122594963	3	7	11
-122641927	3	8	11
-122739448	9	9	15
-122818616	3	8	12
-122836171	3	8	10
-122845123	3	6	10
-122924623	3	6	10
-123088355	3	8	12
-123418083	81	8	12
-123437656	3	8	12
-123440727	3	8	13
-123652535	3	7	12
-123673460	3	7	12
-123698584	3	6	10
-123712095	3	8	10
-124260783	6561	8	12
-124438679	27	7	12
-124479319	3	5	9
-124586023	3	9	13
-124789384	3	8	13
-124971331	3	8	10
-125146031	3	6	9
-125151859	3	7	9
-125187496	3	6	10
-125261035	3	8	13
-125266235	3	4	4
-125333412	3	6	10
-125389496	3	6	9
-125474071	3	7	10
-125599604	3	8	12
-125932691	3	7	9
-125982391	3	5	5
-126078459	3	7	10
-126160744	3	8	10
-126190095	3	8	11
-126207064	3	6	10
-126247035	3	6	10
-126395447	3	7	11
-126441247	3	8	17
-126453544	3	8	13
-126488119	3	6	10
-126533428	3	7	12
-126680395	3	6	10
-126757480	3	7	11
-126842071	3	8	10
-126931407	3	8	10
-126946959	3	8	10
-127001507	3	5	6
-127083363	3	7	11
-127179368	3	8	12
-127214419	3	7	11
-127775543	3	5	9
-127780203	3	8	10
-127839299	3	6	10
-127863723	3	11	17
-128173971	3	8	13
-128219291	3	8	13
-128264243	3	8	14
-128297731	3	8	12
-128400095	3	8	10
-128551556	3	6	9
-128568632	3	8	12
-128791076	3	8	12
-128873467	3	7	12
-128942504	3	6	10
-129052759	3	8	13
-129346591	3	5	6
-129465544	3	8	12
-129545647	3	9	13
-129566823	3	7	12
-129621827	3	7	12
-129800404	3	6	9
-129853060	3	5	6
-130106879	3	8	11
-130287111	3	8	12
-130323587	3	6	10
-130841668	3	6	10
-130981476	3	8	11
-131296148	3	7	11
-131379251	3	6	10
-131461883	9	9	13
-131484740	3	8	12
-131662371	3	7	10
-131789608	3	11	19
-131842299	3	6	10
-132000548	3	8	12
-132067304	3	7	9
-132085951	3	8	13
-132163268	3	8	11
-132309544	3	8	10
-132473940	3	8	13
-132535283	3	7	11
-132748228	3	8	10
-132799179	3	6	10
-132948888	3	8	14
-132975815	9	7	12
-133331928	3	6	9
-133574847	9	8	12
-133667087	3	8	11
-133746671	3	8	10
-133920551	3	6	10
-133989187	3	6	9
-134216987	3	8	12
-134217247	3	6	9
-134400324	3	6	10
-134705176	3	8	11
-134937604	3	7	11
-134937803	3	8	10
-135130999	3	8	10
-135235988	3	8	14
-135448979	3	10	11
-135496963	3	8	10
-135547519	9	7	12
-135618612	3	8	11
-135672259	3	8	11
-135761647	243	8	12
-135813691	3	8	13
-135838324	3	8	12
-135896664	3	6	10
-135912067	3	6	9
-135942127	3	7	12
-135992867	3	5	6
-136151583	3	8	13
-136153111	9	8	12
-136256647	3	8	12
-136282463	3	7	10
-136687508	3	6	10
-136878251	3	8	11
-137007843	9	7	12
-137170183	3	7	11
-137291476	3	6	10
-137353544	3	8	12
-137394091	3	8	10
-137436724	3	6	11
-137672011	3	6	10
-137738792	3	10	18
-137896439	3	7	11
-138387395	3	8	11
-138394136	3	7	11
-138431976	3	11	17
-138603587	3	9	13
-138650388	3	8	10
-138690547	3	4	5
-138697355	3	8	13
-138814971	9	7	9
-139160659	3	8	13
-139353252	3	8	10
-139457363	3	5	9
-139509247	3	6	10
-139713832	3	8	13
-139725491	9	9	15
-139758459	3	6	9
-139791739	3	7	10
-140037972	3	8	13
-140168771	9	7	12
-140196739	3	6	9
-140313171	9	9	13
-140367832	9	7	12
-140507383	3	8	13
-140559544	3	7	11
-140623051	3	6	11
-140655747	243	8	12
-140768771	6561	8	12
-140813643	3	9	15
-140987188	3	8	11
-141000955	3	7	11
-141178143	3	5	6
-141241443	9	7	12
-141624232	3	6	10
-141723403	9	7	12
-141772615	3	7	11
-141950147	3	6	10
-141960027	3	8	12
-141976823	3	8	10
-142014499	3	8	12
-142270239	3	8	10
-142545871	3	8	10
-142650951	2187	8	12
-142705139	3	8	10
-142722836	3	6	9
-142829491	3	8	13
-143011787	3	7	12
-143153812	3	7	11
-143294291	3	8	12
-143306932	3	6	10
-143390452	3	6	10
-143506884	3	8	10
-143509683	3	8	12
-143862803	3	7	12
-144024031	3	6	10
-144095547	3	5	6
-144115476	3	11	14
-144178420	3	8	10
-144317791	3	7	10
-144346308	3	5	9
-144352228	3	8	12
-144449419	27	8	12
-144523723	3	8	11
-144664899	3	10	16
-144708547	27	8	12
-144910303	3	8	12
-145170008	3	8	13
-145281736	3	6	10
-145379719	3	8	11
-145391423	3	7	9
-145537655	3	8	10
-145694455	3	8	12
-145761028	3	8	12
-146144183	3	7	7
-146175455	3	8	10
-146215079	3	8	10
-146767151	3	6	10
-146904195	3	8	12
-146969896	3	6	10
-147106619	3	8	10
-147203607	3	8	10
-147223524	3	8	12
-147278003	3	6	10
-147288551	3	8	11
-147430363	3	6	10
-147488884	3	7	11
-147619732	3	8	12
-147634791	27	8	12
-147671428	3	7	7
-147833688	9	9	15
-147848471	3	8	13
-147863908	3	8	14
-148015928	3	8	13
-148077199	3	6	10
-148183412	3	7	10
-148232379	3	8	10
-148326260	3	7	11
-148371684	3	6	10
-148374067	3	8	12
